Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,TotalDuration,avg_time_per_page,admin_ratio,info_ratio,product_ratio,admin_duration_ratio,info_duration_ratio,product_duration_ratio,Cluster
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,1,1,1,1,Returning_Visitor,False,False,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3
0,0.0,0,0.0,2,64.0,0.0,0.1,0.0,0.0,Feb,2,2,1,2,Returning_Visitor,False,False,64.0,21.333333333333332,0.0,0.0,0.6666666666666666,0.0,0.0,0.9846153846153847,2
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,4,1,9,3,Returning_Visitor,False,False,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3
0,0.0,0,0.0,2,2.666666667,0.05,0.14,0.0,0.0,Feb,3,2,2,4,Returning_Visitor,False,False,2.666666667,0.888888889,0.0,0.0,0.6666666666666666,0.0,0.0,0.7272727272975207,2
0,0.0,0,0.0,10,627.5,0.02,0.05,0.0,0.0,Feb,3,3,1,4,Returning_Visitor,True,False,627.5,57.04545454545455,0.0,0.0,0.9090909090909091,0.0,0.0,0.9984089101034208,0
0,0.0,0,0.0,19,154.2166667,0.015789474,0.024561404,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False,154.2166667,7.710833334999999,0.0,0.0,0.95,0.0,0.0,0.9935573928930403,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,Feb,2,4,3,3,Returning_Visitor,False,False,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3
1,0.0,0,0.0,0,0.0,0.2,0.2,0.0,0.0,Feb,1,2,1,5,Returning_Visitor,True,False,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3
0,0.0,0,0.0,2,37.0,0.0,0.1,0.0,0.8,Feb,2,2,2,3,Returning_Visitor,False,False,37.0,12.333333333333334,0.0,0.0,0.6666666666666666,0.0,0.0,0.9736842105263158,2
0,0.0,0,0.0,3,738.0,0.0,0.022222222,0.0,0.4,Feb,2,4,1,2,Returning_Visitor,False,False,738.0,184.5,0.0,0.0,0.75,0.0,0.0,0.9986468200270636,0
0,0.0,0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,False,False,395.0,98.75,0.0,0.0,0.75,0.0,0.0,0.9974747474747475,0
0,0.0,0,0.0,16,407.75,0.01875,0.025833333,0.0,0.4,Feb,1,1,4,3,Returning_Visitor,False,False,407.75,23.985294117647058,0.0,0.0,0.9411764705882353,0.0,0.0,0.9975535168195718,0
0,0.0,0,0.0,7,280.5,0.0,0.028571429,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False,280.5,35.0625,0.0,0.0,0.875,0.0,0.0,0.9964476021314387,0
0,0.0,0,0.0,6,98.0,0.0,0.066666667,0.0,0.0,Feb,2,5,1,3,Returning_Visitor,False,False,98.0,14.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.98989898989899,2
0,0.0,0,0.0,2,68.0,0.0,0.1,0.0,0.0,Feb,3,2,3,3,Returning_Visitor,False,False,68.0,22.666666666666668,0.0,0.0,0.6666666666666666,0.0,0.0,0.9855072463768116,2
2,53.0,0,0.0,23,1668.285119,0.008333333,0.016312636,0.0,0.0,Feb,1,1,9,3,Returning_Visitor,False,False,1721.285119,66.2032738076923,0.07692307692307693,0.0,0.8846153846153846,0.03077306969404292,0.0,0.9686463063494657,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,1,1,4,3,Returning_Visitor,False,False,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3
0,0.0,0,0.0,13,334.9666667,0.0,0.007692308,0.0,0.0,Feb,1,1,1,4,Returning_Visitor,True,False,334.9666667,23.92619047857143,0.0,0.0,0.9285714285714286,0.0,0.0,0.9970235142378189,0
0,0.0,0,0.0,2,32.0,0.0,0.1,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False,32.0,10.666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.9696969696969697,2
0,0.0,0,0.0,20,2981.166667,0.0,0.01,0.0,0.0,Feb,2,4,4,4,Returning_Visitor,False,False,2981.166667,141.96031747619048,0.0,0.0,0.9523809523809523,0.0,0.0,0.9996646733359789,0
0,0.0,0,0.0,8,136.1666667,0.0,0.008333333,0.0,1.0,Feb,2,2,5,1,Returning_Visitor,True,False,136.1666667,15.129629633333334,0.0,0.0,0.8888888888888888,0.0,0.0,0.9927095990297182,0
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,Feb,3,3,1,3,Returning_Visitor,False,False,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,3
