,PC1,PC2,PC3,PC4,PC5,PC6
Administrative,0.21876536359168133,0.33796978066682276,0.1939842148981583,-0.03697130002991855,-0.015415961827220366,0.015163663685323242
Administrative_Duration,0.22199588104680557,0.3498690048679173,0.16300996893376296,-0.039307046383549496,-0.011451870741280585,0.020529896421044434
Informational,-1.1102230246251565e-16,-1.1102230246251565e-16,-0.0,4.85722573273506e-17,3.469446951953614e-17,8.170547571850761e-16
Informational_Duration,-2.7755575615628914e-17,5.551115123125783e-17,-1.1102230246251565e-16,1.5265566588595902e-16,1.5265566588595902e-16,1.8943180357666733e-15
ProductRelated,0.3188674061870926,-0.11187972654231854,0.22751593124120426,0.02361584267593738,0.013471354729056273,0.008047808183355593
ProductRelated_Duration,0.34769406930819413,-0.12619729515996664,0.06853347519979486,-0.022929960633230596,0.027341508677487143,-0.00398067778329118
BounceRates,-0.22700192886200438,-0.04427351006555257,0.5082089727749272,0.04138344602070537,0.11979640800217584,-0.008266564463108892
ExitRates,-0.3024217067772079,-0.04807018993541855,0.22138435789384195,0.011148373600105626,0.02697951948667675,0.006729782350897793
PageValues,-2.6469779601696886e-23,0.0,1.734723475976807e-18,-0.0,5.551115123125783e-17,3.3306690738754696e-16
SpecialDay,8.271806125530277e-25,0.0,-0.0,-0.0,0.0,-3.3306690738754696e-16
OperatingSystems,0.007912775165400681,-0.0264221506829663,0.009298410271876556,-0.001132291846753436,0.614401489649394,0.1144399531340965
Browser,1.6155871338926322e-27,-1.6543612251060553e-24,-1.3552527156068805e-20,-0.0,0.0,-8.326672684688674e-17
Region,-0.0006464161513388233,0.023087758840846566,-0.06872858680146937,0.02957188639484987,0.41065921136446026,0.767794570182649
TrafficType,-0.01291773984014555,0.03339289847998489,-0.0459412521516021,-0.09341593122299308,0.5708320417022258,-0.6148574963901349
VisitorType,-0.01586313480567502,-0.15087338754862686,0.3603522557241355,-0.1459001505197627,-0.2745968910950666,0.0746213142077649
total_duration,0.3534443391612513,-0.07294795461281846,0.061688021921781036,-0.025048277079581942,0.028971398864023657,-0.006047790977333687
total_pages,0.32894864041960886,-0.04909105424512431,0.22320832085615783,0.018208836567639646,0.013868327944248608,0.005169967380680299
avg_time_per_page,0.29636810437634653,-0.07552086392750847,-0.07980338063027753,-0.05492806363801418,0.03734683841204869,-0.013256636316470059
admin_ratio,0.1074065519000087,0.44282923185758016,0.012952574780373538,-0.06784569185410882,-0.005291857684646625,-0.0028346508092657926
info_ratio,-0.0,-5.748419401509802e-30,3.4153512010490244e-24,1.8065624578158124e-21,-4.607859233063394e-19,-5.204170427930421e-18
product_ratio,0.19149371085642633,-0.37303860825778873,0.07107377472549645,0.006852017723229761,0.01839999192834659,0.0007428470551771886
admin_duration_ratio,0.1059310497867876,0.43524918398722745,0.026179081841155978,-0.054557924909069286,-0.012787458684381654,0.0014643301023689655
info_duration_ratio,-0.0,0.0,-0.0,-0.0,0.0,0.0
product_duration_ratio,0.13429701634039054,-0.4014461919562197,-0.10097249806236244,-0.01636185522863399,0.022823069090130852,-0.024467168103071115
bounce_exit_ratio,-0.16110821262325822,-0.0296715603738714,0.5837909201640725,0.06658738421810363,0.10838863719454553,-0.007464418539483611
value_per_page,-0.0,0.0,-0.0,-0.0,0.0,0.0
engagement_score,0.3263361850430431,-0.03590803534059825,0.08752054822855407,-0.0007544988891370896,0.030455419172170244,-0.007065349111960765
month_sin,-0.06628810522755194,-0.0536774123101106,-0.06948271776616155,-0.6327580309345356,-0.0882207222444211,0.10784543974742176
month_cos,0.038211939072374496,0.018793085465743303,-0.05423782882437137,0.6758494367816518,-0.053850433254082064,-0.008199066554424995
special_weekend,-0.0094329607484474,-0.02915392356651297,0.05420753571001173,-0.29969746730824814,0.0969763608634151,-0.01671360676331458
